"iso3","round","economy_label","regionwb_raw","is_oic","pop_adult","n_total","n_unbanked_fin","n_asked","n_religion_dk_ref","relig_A_p","relig_A_n","relig_A_se","relig_A_deff","relig_B_p","relig_B_n","relig_B_se","relig_B_deff","relig_all_p","relig_all_n","relig_all_se","unbanked_fin_share","unbanked_fin_se","unbanked_answered_share","far_A_p","expensive_A_p","documentation_A_p","trust_A_p","money_A_p","family_A_p","no_need_A_p","account_fin_p","account_mob_p","anydigpayment_p","mobileowner_p","internet_access_p","internet_use_p","female_p","in_balanced_oic_frame","decomposition_check"
"MMR",2021,"Myanmar","East Asia & Pacific (excluding high income)",0,40543136,1000,497,506,3,0.0836951447384712,494,0.0166554310098052,1.78689259095425,0.0832837690365766,503,0.0165043118751072,1.79459947583494,0.0533577143311179,997,0.0100946404106539,0.638566416696898,0.0215327332656564,0.637524607883157,0.47201569752541,0.288447309688117,0.442656097964829,0.128316310901562,0.812108789537746,0.218874307116693,0.479532480645591,0.361433583303102,0.290307042450085,0.399061605795168,0.961699187771385,0.737706950190211,,0.513433330060935,0,0.0533577143311179
"MNE",2011,"Montenegro","Europe & Central Asia",0,501121,1000,406,407,19,0.0565953748648706,387,0.0150745886150716,1.64711135532748,0.0564207679141221,388,0.0150231437387146,1.64488675730386,0.0273120633394368,981,0.00673556966694748,0.494159766390656,0.0204355616237119,0.482584723657157,0.0539835311731366,0.141044337548702,0.183020531553092,0.20785796409304,0.676321095522137,0.342080479452055,,0.505117676514772,,,,,,0.531571262850514,0,0.0273120633394368
"MNE",2014,"Montenegro","Europe & Central Asia",0,504909,1000,351,362,5,0.00132558891107191,346,0.00233761793220941,1.42820442560351,0.0012741150664218,357,0.00224959187162291,1.41977893071932,0.000527010642241179,995,0.000859509901696256,0.401739911570665,0.0183303757051533,0.397567177757261,0.130008587171209,0.201923952997205,0.159454534139247,0.197511999683637,0.532007911256401,0.254993177453225,0.563716846780982,0.598260088429335,,,,,,0.518891344236097,0,0.000527010642241179
"MNE",2017,"Montenegro","Europe & Central Asia (excluding high income)",0,509031.5625,1000,256,311,7,0.00883827281805772,249,0.00715140638490696,1.45368508972792,0.00735531888805024,304,0.00586541931319566,1.43243982637287,0.00275749955454357,993,0.0019735071315798,0.316382060014698,0.0174433407859786,0.311995297193095,0.078516730405457,0.121638014981015,0.111695177721785,0.116622606906257,0.520615098125699,0.474755853666558,0.605940511904067,0.683617939985302,,0.0768308452365807,0.935297324348283,,,0.510999465103043,0,0.00275749955454357
"MNE",2024,"Montenegro","Europe & Central Asia (excluding high income)",0,503215,1000,175,175,175,,0,,,,0,,,0,825,0,0.245883702986114,0.0172068226089827,0,0.265249184722106,0.281547571040583,0.237780671669796,0.22689428014638,0.55199590412875,0.715966479720657,,0.754116297013886,,0.643412222623583,,,0.838137204992711,0.514226453218976,0,
"MNG",2011,"Mongolia","East Asia & Pacific",0,2011859,1000,226,226,4,0.00467541306109736,222,0.0051334777881147,1.25716311628336,0.00467541306109736,222,0.0051334777881147,1.25716311628336,0.00103032697948309,996,0.00112471628785616,0.222829081769915,0.0145616265049829,0.220371326772413,0.181920677913582,0.05737910181432,0.0813549294612092,0.0749807348260727,0.62579978062153,0.505995297937877,,0.777170918230085,,,,,,0.511936170205784,0,0.00103032697948309
"MNG",2014,"Mongolia","East Asia & Pacific",0,2064844,1000,90,94,0,0,90,0,1.23262654920577,0,94,0,1.22509460732368,0,1000,0,0.0817821807806358,0.00937887500312195,0.0817821807806358,0.134863988058516,0.0768390553411645,0.136199324404323,0.0654168740431461,0.646596328877987,0.708412494481233,0.222208285130969,0.918217819219364,0.0499798713208853,,,,,0.52399656048112,0,0
"MNG",2017,"Mongolia","East Asia & Pacific (excluding high income)",0,2140226,1000,59,87,2,0.0213140256022652,58,0.0210478312326506,1.23178199465055,0.0154659808661388,85,0.0152160939105137,1.29245993708504,0.00149342398382751,998,0.00136148232854062,0.0702882839566368,0.00900748974604936,0.0700676639737538,0.311198941372486,0.373203149803035,0.373569504949982,0.358804534968964,0.49897734804343,0.802825201975108,0.50630296231848,0.929711716043363,0.218971477828373,0.0332100369598628,0.983583534260759,,,0.521261900983453,0,0.00149342398382751
"MNG",2021,"Mongolia","East Asia & Pacific (excluding high income)",0,2258974.5,1000,13,20,0,0,13,0,1.35391495260928,0,20,0,1.47690829484777,0,1000,0,0.0183440343216494,0.00517957520535504,0.0183440343216494,0.316363239114265,0.598632411588664,0.276494067651022,0.424090528570349,0.0968563920483361,0.740449817437187,0.700584596221371,0.981655965678351,0.588124931485192,0.974093441602912,0.985465596167128,0.830799252564981,,0.524703037560468,0,0
"MNG",2024,"Mongolia","East Asia & Pacific (excluding high income)",0,2344987,1000,15,15,15,,0,,,,0,,,0,985,0,0.0178211764561507,0.00460561780571315,0,0.282652894505238,0.738214690309386,0.42354154384702,0.2069076765731,0.443739081090442,0.74442986136614,,0.982178823543849,0.640304313560419,0.949054233932002,,,0.868814523145235,0.525525880116888,0,
"MOZ",2017,"Mozambique","Sub-Saharan Africa (excluding high income)",1,15850773,1000,589,635,10,0.0466225915842623,579,0.0103116909237034,1.3850870569822,0.0513382917819949,625,0.010425868130075,1.39492766440973,0.0310141874754708,990,0.00669852085830561,0.669969982411247,0.0180747822866748,0.665218007442121,0.350620432999756,0.283237462908334,0.274967760847104,0.103846183335007,0.73334376596263,0.123000236707073,0.151712682735275,0.330030017588753,0.218668207548091,0.0131575787676717,0.57486872514614,,,0.516498292130661,0,0.0310141874754708
"MOZ",2021,"Mozambique","Sub-Saharan Africa (excluding high income)",1,17483418,1000,495,559,26,0.117813359116097,474,0.0192855899929921,1.69624736095849,0.122008497386394,533,0.0186851903399425,1.73716819793772,0.070822356231903,974,0.0112896744918605,0.613650773027082,0.0210723042888107,0.60114028462691,0.430529540705632,0.285288918248306,0.458460365190127,0.313660678447522,0.690744479457856,0.207184332417036,0.257832113066162,0.386349226972918,0.293765950300481,0.423195836284295,0.547371383493274,0.207261477490409,,0.515719669348145,0,0.070822356231903
"MOZ",2024,"Mozambique","Sub-Saharan Africa (excluding high income)",1,18581790,1008,625,0,0,,0,,,,0,,,0,383,0,0.749159650985033,0.0212045264603481,0,,,,,,,,0.250840349014967,0.457209859704018,0.505091111456455,,,0.271067395648481,0.502036884028624,0,
"MRT",2011,"Mauritania","Sub-Saharan Africa",1,2207452,1000,764,759,7,0.164955837311297,752,0.0171168038861326,1.59950667633982,0.164955837311297,752,0.0171168038861326,1.59950667633982,0.135779223718752,988,0.0140619810979339,0.8253818489524,0.0154687034512197,0.823124697688117,0.312380008781555,0.309973786674854,0.231376111278996,0.243009271024626,0.666844008064087,0.134799275075976,,0.1746181510476,,,,,,0.520821762879315,1,0.135779223718752
"MRT",2014,"Mauritania","Sub-Saharan Africa",1,2329858,1000,725,760,22,0.180430579583372,704,0.0181729355372226,1.57226932482163,0.178565137287198,738,0.0176915204960292,1.57476907904418,0.142783423416239,978,0.0144027702702356,0.795546168586983,0.0163734044156673,0.791348250091182,0.221736551162563,0.246287298320939,0.220066580802495,0.128897988839976,0.517291592647548,0.117810946974429,0.207107836670934,0.204453831413017,0.0648039601117427,,,,,0.513475982704253,1,0.142783423416239
"MRT",2017,"Mauritania","Sub-Saharan Africa (excluding high income)",1,2576113,1000,728,751,52,0.0654092071808173,678,0.0118849525035665,1.56662196551918,0.0665261217303368,699,0.0118141329326928,1.57103733736672,0.0523057264967536,948,0.00928038233523638,0.809689398506316,0.0159112251284637,0.799669171224772,0.173768241716445,0.270463244327748,0.199664801550874,0.0981600615180339,0.53484528145474,0.145006911396709,0.186015137188576,0.190310601493684,0.0401237795113623,0.00381992174128395,0.679299887052737,,,0.501305388939624,1,0.0523057264967536
"MRT",2021,"Mauritania","Sub-Saharan Africa (excluding high income)",1,2804438.25,1000,751,794,12,0.254218803786659,739,0.0204941981146994,1.63714519883488,0.250376191464685,782,0.0198098943248261,1.63506367459556,0.201175051422621,988,0.0165119793487021,0.796040215005195,0.0165005781164039,0.791346070495427,0.309817159622801,0.361673969967853,0.243561872721174,0.20831296258685,0.723558556632985,0.148631343456262,0.228802956944853,0.203959784994805,0.101619569362807,0.199249379744456,0.745046062645782,0.421386996788563,,0.525268662878499,1,0.201175051422621
"MRT",2024,"Mauritania","Sub-Saharan Africa (excluding high income)",1,2860979,1000,663,0,0,,0,,,,0,,,0,337,0,0.726857390079015,0.0179729821756472,0,,,,,,,,0.273142609920985,,0.243839030346422,,,0.597770634917523,0.528420726173818,1,
"MUS",2011,"Mauritius","Sub-Saharan Africa",0,1020651.1875,1000,165,166,9,0.0216505239520619,157,0.0130381540056682,1.25999678766266,0.0216505239520619,157,0.0130381540056682,1.25999678766266,0.00413372517995673,991,0.00232122111408589,0.198027827466121,0.0143439145049013,0.190929567760555,0.0686463603175133,0.0786379237730195,0.194896796564959,0.0818255665284712,0.689737417490506,0.322123142163677,,0.801825510564188,,,,,,0.513622487416263,0,0.00413372517995673
"MUS",2014,"Mauritius","Sub-Saharan Africa",0,1040399.375,1000,158,164,5,0.0121473154111376,153,0.00978849355257551,1.2216608494988,0.0118371112417622,159,0.0094956517593534,1.22566677585622,0.00211002191553212,995,0.00162820497391911,0.177917278272139,0.0135329690332982,0.173702735470052,0.0417846434402022,0.0621210074737706,0.180333218779703,0.0149085074422247,0.607048002256539,0.315912780867906,0.134470616366602,0.822082721727861,0.00864331411099376,,,,,0.518310712142146,0,0.00211002191553212
"MUS",2017,"Mauritius","Sub-Saharan Africa (excluding high income)",0,1024565.4375,1000,90,106,0,0.116923983626224,90,0.0389706448488872,1.32378056408775,0.0985841857396693,106,0.032908231513007,1.29176206485541,0.012283192931976,1000,0.00416286216309734,0.105052809107516,0.0115883795785133,0.105052809107516,0.0741467144648181,0.235334743892085,0.291207791268849,0.130652513093117,0.478070777392072,0.500999193513323,0.223372811249016,0.894947190892484,0.0562693714475588,,0.834309900002747,,,0.511967261688628,0,0.012283192931976
"MUS",2021,"Mauritius","Sub-Saharan Africa (excluding high income)",0,1053288.75,1000,69,77,2,0.0710583076226355,67,0.0417339528323637,1.76787082806288,0.0674620182409894,75,0.0389694081887414,1.81043536729165,0.00702701331446606,998,0.00374269825604511,0.100441287029262,0.0134497609204115,0.0988908060093963,0.156660611432069,0.240286679597332,0.306588539300279,0.15990994038588,0.583143167435746,0.495000995567836,0.192801751116095,0.899558712970738,0.158956646249017,0.801148911328067,0.916849351984144,0.810820455109865,,0.519588315748766,0,0.00702701331446606
"MUS",2024,"Mauritius","Sub-Saharan Africa (excluding high income)",0,1070318,1000,73,0,0,,0,,,,0,,,0,927,0,0.104820191959747,0.0126469171013504,0,,,,,,,,0.895179808040253,0.101270671725304,0.640442374283408,,,0.771695497357439,0.50334977496128,0,
"MWI",2011,"Malawi","Sub-Saharan Africa",0,8401899,1000,755,754,1,0.00888495705048469,753,0.00406514335439615,1.41308181073111,0.00888495705048469,753,0.00406514335439615,1.41308181073111,0.00741257365577452,998,0.00332921273325952,0.834593896159158,0.014402298511764,0.834283566443369,0.126383187346665,0.25385991231746,0.170851765513514,0.0977725849406999,0.890340707845373,0.0192329539979535,,0.165406103840842,,,,,,0.51895055724887,0,0.00741257365577452
"MWI",2014,"Malawi","Sub-Saharan Africa",0,8952162,1000,812,822,0,0.0159892429433804,812,0.00507864124774314,1.33113883251894,0.0163619207999922,822,0.00511225583064579,1.33483429511629,0.0134092719712815,1000,0.00421294761201911,0.838643331567677,0.013474015803323,0.838643331567677,0.216103387606781,0.249871482256977,0.267037698603551,0.170847113560274,0.862379730104031,0.0533823107862555,0.203277030120996,0.161356668432323,0.0384410089795367,,,,,0.515506764724727,0,0.0134092719712815
"MWI",2017,"Malawi","Sub-Saharan Africa (excluding high income)",0,10082076,1000,761,803,8,0.027437578324954,754,0.00697773982274134,1.37574399998207,0.0259021256901869,795,0.00660050127156185,1.37272317173638,0.0211129456597537,992,0.00534369518961735,0.770087150162112,0.0155934304125492,0.7694901280902,0.161252373610239,0.280195214117882,0.356831847035883,0.154427224128537,0.815806583172007,0.0558212322623353,0.258795483881472,0.229912849837888,0.203028316584637,0.00440095303053758,0.504667979018407,,,0.522215030520101,0,0.0211129456597537
"MWI",2021,"Malawi","Sub-Saharan Africa (excluding high income)",0,10905594,1000,772,820,1,0.0194979095748063,771,0.00593213526712126,1.41918787833017,0.0204543600850615,819,0.00590781727850491,1.42668284147842,0.0155504100260926,999,0.00466913429087488,0.797782943912706,0.0151467454284619,0.797542421993056,0.202053475944119,0.341340601231554,0.468932192935938,0.224558684838195,0.886844270246442,0.0753387610208515,0.297450765403802,0.202217056087294,0.343476873787214,0.403109616446834,0.61492971851362,0.213733412950283,,0.524528107315804,0,0.0155504100260926
"MWI",2024,"Malawi","Sub-Saharan Africa (excluding high income)",0,12384937,1000,852,0,0,,0,,,,0,,,0,148,0,0.875933089555778,0.0120351429257668,0,,,,,,,,0.124066910444222,0.473991978362086,0.488583208863314,,,0.205035202708109,0.521967938796951,0,
